word,clue
RYBA,"Ssaki wodne nie sπ, lecz zwierzÍta wodne majπ skrzela"
KROWA,"Domowe zwierzÍ hodowlane produkujπce mleko"
KO—,"Duøe zwierzÍ hodowlane, czÍsto jeødøone przez ludzi"
OWCA,"Domowe zwierzÍ hodowlane dajπce we≥nÍ"
åWINIA,"Domowe zwierzÍ hodowlane dajπce miÍso"
KURA,"Ptak hodowlany znoszπcy jaja"
JAJKO,"Produkt spoøywczy pochodzenia zwierzÍcego"
CHLEB,"Wypiek z mπki, wody i droødøy"
MAKARON,"Produkt spoøywczy z pszenicy, gotowany"
RYØ,"Ziarna roúliny uprawnej stosowane w kuchni"
M•KA,"Produkt otrzymywany z ziarna zmielonego"
CUKIER,"S≥odka substancja stosowana w kuchni"
S”L,"Substancja dodawana do potraw dla smaku"
PIERå,"MiÍso kurczaka lub indyka"
MI SO,"Produkt pochodzenia zwierzÍcego do jedzenia"
WODA,"Nieprzezroczysta ciecz niezbÍdna do øycia"
OLEJ,"T≥uszcz roúlinny lub zwierzÍcy uøywany w kuchni"
MAS£O,"Produkt mleczny do smarowania"
SER,"Produkt mleczny"
JOGURT,"Produkt mleczny fermentowany"
SOK,"NapÛj uzyskany z owocÛw lub warzyw"
HERBATA,"NapÛj przygotowywany przez zalanie suszu wodπ"
KAWA,"NapÛj pobudzajπcy z ziaren kawowca"
PIWO,"Alkoholowy napÛj zboøowy"
WINO,"NapÛj alkoholowy z winogron"
